time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
1.97666,0.00325157,0,1.98922,0,11.532
1.9786,0.00330852,0.0294945,1.98903,-0.097296,-50.3876
1.98085,0.00330852,0,1.98903,0,43.1065
1.98473,0.00330852,0,1.98903,0,0
1.98795,0.00349504,0.0579234,1.98842,-0.190878,-59.2774
1.9944,0.00349504,0,1.98842,0,29.6015
1.99711,0.00359813,0.0381448,1.98808,-0.125662,-46.4946
2.00128,0.00359813,0,1.98808,0,30.0698
2.00538,0.00359813,0,1.98808,0,0
2.008,0.00383511,0.0904404,1.9873,-0.297771,-113.643
2.01315,0.00383511,0,1.9873,0,57.7438
2.01534,0.00398272,0.067436,1.98681,-0.221871,-101.361
2.01956,0.00398272,0,1.98681,0,52.6266
2.02381,0.00398272,0,1.98681,0,0
2.02785,0.00426911,0.070974,1.98587,-0.233383,-57.8362
2.03324,0.00426911,0,1.98587,0,43.2806
